Age,Male,Female,Male_SE,Female_SE
107,0.627218458,0.606523408,0.007982786,0.007542929
108,0.627218458,0.606523408,0.007982786,0.007542929
109,0.627218458,0.606523408,0.007982786,0.007542929
110,0.627218458,0.606523408,0.007982786,0.007542929
111,0.627218458,0.606523408,0.007982786,0.007542929
112,0.627218458,0.606523408,0.007982786,0.007542929
113,0.627218458,0.606523408,0.007982786,0.007542929
114,0.627218458,0.606523408,0.007982786,0.007542929
115,0.627218458,0.606523408,0.007982786,0.007542929
116,0.627218458,0.606523408,0.007982786,0.007542929
117,0.627218458,0.606523408,0.007982786,0.007542929
118,0.627218458,0.606523408,0.007982786,0.007542929
119,0.627218458,0.606523408,0.007982786,0.007542929
120,0.627218458,0.606523408,0.007982786,0.007542929
121,0.627218458,0.606523408,0.007982786,0.007542929
122,0.627218458,0.606523408,0.007982786,0.007542929
123,0.627218458,0.606523408,0.007982786,0.007542929
124,0.627218458,0.606523408,0.007982786,0.007542929
125,0.627218458,0.606523408,0.007982786,0.007542929
126,0.627218458,0.606523408,0.007982786,0.007542929
127,0.627218458,0.606523408,0.007982786,0.007542929
128,0.627218458,0.606523408,0.007982786,0.007542929
129,0.627218458,0.606523408,0.007982786,0.007542929
130,0.627218458,0.606523408,0.007982786,0.007542929
131,0.627218458,0.606523408,0.007982786,0.007542929
132,0.627218458,0.606523408,0.007982786,0.007542929
133,0.627218458,0.606523408,0.007982786,0.007542929
134,0.627218458,0.606523408,0.007982786,0.007542929
135,0.627218458,0.606523408,0.007982786,0.007542929
136,0.627218458,0.606523408,0.007982786,0.007542929
137,0.627218458,0.606523408,0.007982786,0.007542929
138,0.627218458,0.606523408,0.007982786,0.007542929
139,0.627218458,0.606523408,0.007982786,0.007542929
140,0.627218458,0.606523408,0.007982786,0.007542929
141,0.627218458,0.606523408,0.007982786,0.007542929
142,0.627218458,0.606523408,0.007982786,0.007542929
143,0.627218458,0.606523408,0.007982786,0.007542929
144,0.627218458,0.606523408,0.007982786,0.007542929
145,0.627218458,0.606523408,0.007982786,0.007542929
146,0.627218458,0.606523408,0.007982786,0.007542929
147,0.627218458,0.606523408,0.007982786,0.007542929
148,0.627218458,0.606523408,0.007982786,0.007542929
149,0.627218458,0.606523408,0.007982786,0.007542929
150,0.627218458,0.606523408,0.007982786,0.007542929
151,0.627218458,0.606523408,0.007982786,0.007542929
152,0.627218458,0.606523408,0.007982786,0.007542929
153,0.627218458,0.606523408,0.007982786,0.007542929
154,0.627218458,0.606523408,0.007982786,0.007542929
155,0.627218458,0.606523408,0.007982786,0.007542929
156,0.627218458,0.606523408,0.007982786,0.007542929
157,0.627218458,0.606523408,0.007982786,0.007542929
158,0.627218458,0.606523408,0.007982786,0.007542929
159,0.627218458,0.606523408,0.007982786,0.007542929
160,0.627218458,0.606523408,0.007982786,0.007542929
161,0.627218458,0.606523408,0.007982786,0.007542929
162,0.627218458,0.606523408,0.007982786,0.007542929
163,0.627218458,0.606523408,0.007982786,0.007542929
164,0.627218458,0.606523408,0.007982786,0.007542929
165,0.627218458,0.606523408,0.007982786,0.007542929
166,0.627218458,0.606523408,0.007982786,0.007542929
167,0.627218458,0.606523408,0.007982786,0.007542929
168,0.627218458,0.606523408,0.007982786,0.007542929
169,0.627218458,0.606523408,0.007982786,0.007542929
170,0.627218458,0.606523408,0.007982786,0.007542929
171,0.627218458,0.606523408,0.007982786,0.007542929
172,0.627218458,0.606523408,0.007982786,0.007542929
173,0.627218458,0.606523408,0.007982786,0.007542929
174,0.627218458,0.606523408,0.007982786,0.007542929
175,0.627218458,0.606523408,0.007982786,0.007542929
176,0.627218458,0.606523408,0.007982786,0.007542929
177,0.627218458,0.606523408,0.007982786,0.007542929
178,0.627218458,0.606523408,0.007982786,0.007542929
179,0.627218458,0.606523408,0.007982786,0.007542929
180,0.627218458,0.606523408,0.007982786,0.007542929
181,0.627218458,0.606523408,0.007982786,0.007542929
182,0.627218458,0.606523408,0.007982786,0.007542929
183,0.627218458,0.606523408,0.007982786,0.007542929
184,0.627218458,0.606523408,0.007982786,0.007542929
185,0.627218458,0.606523408,0.007982786,0.007542929
186,0.627218458,0.606523408,0.007982786,0.007542929
187,0.627218458,0.606523408,0.007982786,0.007542929
188,0.627218458,0.606523408,0.007982786,0.007542929
189,0.627218458,0.606523408,0.007982786,0.007542929
190,0.627218458,0.606523408,0.007982786,0.007542929
191,0.627218458,0.606523408,0.007982786,0.007542929
192,0.627218458,0.606523408,0.007982786,0.007542929
193,0.627218458,0.606523408,0.007982786,0.007542929
194,0.627218458,0.606523408,0.007982786,0.007542929
195,0.627218458,0.606523408,0.007982786,0.007542929
196,0.627218458,0.606523408,0.007982786,0.007542929
197,0.627218458,0.606523408,0.007982786,0.007542929
198,0.627218458,0.606523408,0.007982786,0.007542929
199,0.627218458,0.606523408,0.007982786,0.007542929
