measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,Deaths,6,China,2,Female,30,80-84,976,Diabetes mellitus type 2,3,Rate,2009,128.50122556604387,143.26246291766006,111.2647775582184
1,Deaths,6,China,3,Both,30,80-84,976,Diabetes mellitus type 2,3,Rate,2009,133.56963680665547,144.28060950999648,120.03264784570173
1,Deaths,6,China,1,Male,31,85-89,976,Diabetes mellitus type 2,1,Number,2009,3859.8115771210196,4156.564525640239,3533.2128373565524
1,Deaths,6,China,2,Female,31,85-89,976,Diabetes mellitus type 2,1,Number,2009,4760.287793367098,5393.577920345123,4031.662680849444
1,Deaths,6,China,3,Both,31,85-89,976,Diabetes mellitus type 2,1,Number,2009,8620.09937048811,9362.692978618325,7609.262940490186
1,Deaths,6,China,1,Male,31,85-89,976,Diabetes mellitus type 2,2,Percent,2009,0.009082216568278425,0.00964285805058417,0.008381270765982317
1,Deaths,6,China,2,Female,31,85-89,976,Diabetes mellitus type 2,2,Percent,2009,0.009939590596191532,0.01098871951252501,0.00841832117205967
1,Deaths,6,China,3,Both,31,85-89,976,Diabetes mellitus type 2,2,Percent,2009,0.009536325445315946,0.010239197588517795,0.008467714100551606
1,Deaths,6,China,1,Male,31,85-89,976,Diabetes mellitus type 2,3,Rate,2009,246.28210944392998,265.21695656917024,225.44289878201528
1,Deaths,6,China,2,Female,31,85-89,976,Diabetes mellitus type 2,3,Rate,2009,149.45153477745862,169.3339842310725,126.57599740030807
1,Deaths,6,China,3,Both,31,85-89,976,Diabetes mellitus type 2,3,Rate,2009,181.38400034158792,197.00964379204413,160.11399549782098
1,Deaths,6,China,1,Male,32,90-94,976,Diabetes mellitus type 2,1,Number,2009,669.6438693009848,732.3023715924776,600.6340546715068
1,Deaths,6,China,2,Female,32,90-94,976,Diabetes mellitus type 2,1,Number,2009,1519.2016942635175,1737.9723384007132,1251.3843227864238
1,Deaths,6,China,3,Both,32,90-94,976,Diabetes mellitus type 2,1,Number,2009,2188.8455635645014,2429.087364344455,1867.834441664561
1,Deaths,6,China,1,Male,32,90-94,976,Diabetes mellitus type 2,2,Percent,2009,0.007550318478831572,0.00810568226931778,0.006845391218830221
1,Deaths,6,China,2,Female,32,90-94,976,Diabetes mellitus type 2,2,Percent,2009,0.006724440331073078,0.00752936618768285,0.005588528456416486
1,Deaths,6,China,3,Both,32,90-94,976,Diabetes mellitus type 2,2,Percent,2009,0.006957323341759765,0.007600472079347081,0.00593392209980879
1,Deaths,6,China,1,Male,32,90-94,976,Diabetes mellitus type 2,3,Rate,2009,320.26944199595715,350.23701802431253,287.26423454636443
1,Deaths,6,China,2,Female,32,90-94,976,Diabetes mellitus type 2,3,Rate,2009,157.10664279303214,179.73057849021157,129.4105914567951
1,Deaths,6,China,3,Both,32,90-94,976,Diabetes mellitus type 2,3,Rate,2009,186.11441944475854,206.54183745122165,158.81930114942088
1,Deaths,6,China,1,Male,235,95+ years,976,Diabetes mellitus type 2,1,Number,2009,65.16695173517715,71.9346325787771,54.80537358566761
